service_name,git_repo_name
alive,alive
api-gateway,sportybet-api-gateway
autodeploy,autodeploy
bingo-win,sportybet-bingo-win
facts-center,sportybet-facts-center
facts-center,sportybet-facts-center
fe-cms-management,fe-cms-management
fe-cms-translator,fe-cms-translator
fe-cms,fe-cms
fe-sporty-com,fe-sporty-com
flickball,flickball
lite-mvc,sportybet-lite-mvc
management,sportybet-management
marketing,sportybet-marketing
order,sportybet-order
patron,sportybet-patron
pocket,sportybet-pocket
push,push
real-sports-game,sportybet-real-sports-game
sampler,sportybet-sampler
sms-center,sportybet-sms-center
sms-center,sportybet-sms-center
sporty-analytics,sporty-analytics
sporty-chat,sporty-chat
sporty-ctrl,sporty-ctrl
sporty-currency-exchange,sporty-currency-exchange
facts-center-core,sportybet-facts-center
facts-center-query,sportybet-facts-center
sporty-facts-core,sportybet-facts-center
sporty-global,sportybet-global
sporty-instant-win,sporty-instant-win
sporty-instant-win,sporty-instant-win
sporty-management,sporty-management
sporty-network,sporty-network
sporty-news,sporty-news
sporty-patron,sporty-patron
sporty-push,sporty-push
sporty-schedule-virtual,sporty-schedule-virtual
sporty-simulator,sporty-simulator
sporty-spray,sporty-spray
sporty-virtuals-task,sporty-virtuals-task
sportybet-bi,sportybet-bi
sportybet-gateway,sportybet-gateway
virtual-sports-game,sportybet-virtual-sports-game
web-mvc,sportybet-web-mvc
fe-web-mvc,fe-web-mvc
fe-web-nuxt,fe-web-mvc
fe-lite-mvc,fe-lite
sporty-slot-game,sporty-slot-game
autorelease,autorelease
fe-work-form,fe-work-form
sportybet-quickbet,sportybet-quickbet
sportybet-push,sportybet-push
sporty-alert,sporty-alert
sportybet-developer-gateway,sportybet-developer-gateway
sportybet-common-file,sportybet-common-file
sportybet-inbox,sportybet-inbox
sportybet-recommendation,sportybet-recommendation
sportybet-an-test,sportybet-an-test
sportybet-crm,sportybet-crm
code-center,sportybet-code-center
blackjack,blackjack
even-odd,even-odd
flip-da-coin,flip-da-coin
fruit-hunt,fruit-hunt
galaxy-go,galaxy-go
games-campaign,games-campaign
games-common,games-common
games-recommendation,games-recommendation
hilo-be,hilo-be
hilo-bo,hilo-bo
hub-tech,hub-tech
keno-be,keno-be
keno-bo,keno-bo
lobby,lobby
lucky-goal,lucky-goal
magic-ball,magic-ball
ping-pong,ping-pong
pocket-rockets,pocket-rockets
poker,poker
pragmatic-play,pragmatic-play-integration
red-black,red-black
relax-gaming,relax-gaming
rush,rush
sic-bo,sic-bo
special-one,special-one
spin-da-bottle,spin-da-bottle
spin-match,spin-match
spin-to-win,spin-to-win
sporty-hero,sporty-hero
sporty-jet,sporty-jet
sporty-six,sporty-six
sportygames-global,sportygames-global
spribe,spribe-integration
stp,stp-integration
stud-poker,stud-poker
games-risk-management,games-risk-management
risk-static-data-migration,risk-static-data-migration
sporty-odds-algosport-blackbox,sporty-odds-algosport-blackbox
sporty-odds-betbuilder,sporty-odds-betbuilder
sporty-odds-beter,sporty-odds-beter
sporty-odds-betgenius,sporty-odds-betgenius
sporty-odds-helper,sporty-odds-helper
sporty-odds-livevirtuals,sporty-odds-livevirtuals
sporty-odds-sportingrisk,sporty-odds-sportingrisk
sporty-odds-sportradar,sporty-odds-sportradar
sporty-odds,sporty-odds
sporty-risk-global,sporty-risk-global
sporty-risk-management,sporty-risk-management
sporty-rm-scheduler,sporty-risk-management
sporty-rm-so-processor,sporty-risk-management
sporty-rm-system-order-processor,sporty-risk-management
light-and-wonder,light-and-wonder-integration
sporty-hero-instant,sporty-hero-instant
sportybet-platform-dummy,sportybet-platform-dummy
astro-x,astro-x
sporty-quick-game,sporty-quick-game
sporty-productivity-tool,sporty-productivity-tool
softswiss,softswiss-integration
sporty-kick,sporty-kick
sporty-odds-sportradar-cashout,sporty-odds-sportradar-cashout
hub88,hub88-integration
sporty-media-platform,sporty-media-platform
climb-extreme,climb-extreme
one-punch,one-punch
sporty-woman,sporty-woman
sporty-skills,sporty-skills
stability-tracker,stability-tracker
crazy-rider,crazy-rider
hilo,hilo
keno,keno
rugby-rampage,rugby-rampage
sporty-odds-semantic-engine,sporty-odds-semantic-engine
evolution,evolution
sporty-odds-custom-feed,sporty-odds-custom-feed
sporty-sub,sporty-sub
encore/alive,football-alive
encore/sportybet-gateway,football-gateway
encore/sporty-global,football-global
encore/sporty-instant-win,football-instant-win
encore/management,football-management
encore/marketing,football-marketing
encore/mission-center,football-mission-center
encore/order,football-order
encore/patron,football-patron
encore/pocket,football-pocket
encore/sporty-push,football-push
encore/real-sports-game,football-real-sports-game
encore/sporty-schedule-virtual,football-schedule-virtual
encore/sporty-simulator,football-simulator
encore/sms-center,football-sms-center
encore/virtual-sports-game,football-virtual-sports-game
encore/web-mvc,football-web-mvc
encore/sporty-currency-exchange,football-currency-exchange
encore/fe-web-nuxt,football-fe-web-mvc
encore/encore-bot,football-encore-bot
encore/encore-chat,football-encore-chat
encore/fe-cms,football-fe-cms
encore/fe-cms-management,football-fe-cms-management
encore/sporty-personal-page,football-personal-page
encore/facts-center-core,football-facts-center
encore/facts-center-query,football-facts-center
encore/sporty-facts-core,football-facts-center
sporty-birds,sporty-birds
sporty-rm-bet-ticker,sporty-rm-bet-ticker
finance-reconciliation,finance-reconciliation
magic-money-tree,magic-money-tree
